12,0
13,0
23,0
25,0
36,0
46,0
51,0
52,0
60,0
72,0
78,0
92,0
93,0
94,0
98,0
100,0
104,0
114,0
116,0
122,0
133,0
138,0
141,0
143,0
145,0
155,0
156,0
157,0
158,0
180,0
1,1
8,1
14,1
17,1
19,1
27,1
42,1
45,1
56,1
67,1
69,1
90,1
108,1
109,1
124,1
129,1
169,1
173,1
3,2
18,2
22,2
24,2
30,2
32,2
33,2
35,2
40,2
49,2
75,2
77,2
82,2
84,2
95,2
105,2
107,2
126,2
135,2
9,3
29,3
53,3
55,3
57,3
73,3
80,3
91,3
118,3
168,3
172,3
21,4
26,4
41,4
43,4
50,4
62,4
83,4
106,4
144,4
148,4
153,4
162,4
174,4
175,4
7,5
15,5
20,5
31,5
34,5
58,5
59,5
68,5
71,5
89,5
115,5
131,5
132,5
139,5
150,5
160,5
163,5
164,5
171,5
177,5
179,5
2,6
5,6
37,6
44,6
64,6
66,6
74,6
86,6
117,6
125,6
127,6
130,6
134,6
136,6
149,6
151,6
178,6
16,7
38,7
39,7
47,7
48,7
61,7
65,7
70,7
76,7
101,7
102,7
103,7
112,7
147,7
152,7
161,7
167,7
4,8
6,8
10,8
11,8
28,8
63,8
79,8
88,8
96,8
97,8
99,8
113,8
120,8
140,8
165,8
176,8
54,9
81,9
85,9
87,9
110,9
111,9
119,9
121,9
123,9
128,9
137,9
142,9
146,9
154,9
159,9
166,9
170,9
